epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.499,1.63258,2.37507,1.47566,0.15508,0.14082,0.0854,0.04507,2.17656,6.71716,2.26799,0.000664414,0.000664414,0.000664414
2,224.07,2.08693,2.84587,1.81619,0.10747,0.11069,0.03875,0.01564,2.11562,21.8349,2.22545,0.0013179,0.0013179,0.0013179
3,333.787,1.99634,2.71672,1.77356,0.21934,0.17176,0.10564,0.05451,1.98963,4.41482,1.84403,0.00195819,0.00195819,0.00195819
4,442.733,1.91534,2.61839,1.71331,0.33232,0.17939,0.17155,0.08656,1.94902,2.81638,1.79224,0.0019406,0.0019406,0.0019406
5,551.05,1.84951,2.44447,1.64598,0.4258,0.26718,0.24506,0.13519,1.77371,2.45105,1.69694,0.0019208,0.0019208,0.0019208
6,660.156,1.73017,2.28942,1.56742,0.37667,0.27099,0.25654,0.14461,1.71319,2.19166,1.60196,0.001901,0.001901,0.001901
7,768.955,1.67653,2.18194,1.53826,0.39566,0.28737,0.26644,0.14924,1.65475,2.45859,1.5667,0.0018812,0.0018812,0.0018812
8,877.988,1.647,2.11043,1.49113,0.51303,0.27099,0.28701,0.16683,1.69685,2.20547,1.63766,0.0018614,0.0018614,0.0018614
9,986.551,1.5997,2.0241,1.47143,0.53479,0.30276,0.3216,0.18314,1.57994,1.98257,1.52142,0.0018416,0.0018416,0.0018416
10,1095.1,1.59656,2.00905,1.4788,0.44699,0.34733,0.35019,0.20814,1.57545,1.88055,1.52962,0.0018218,0.0018218,0.0018218
11,1203.6,1.56425,1.91313,1.44879,0.49972,0.34733,0.33266,0.18812,1.57814,2.08007,1.49873,0.001802,0.001802,0.001802
12,1311.83,1.51685,1.86764,1.41256,0.52463,0.33588,0.38459,0.21977,1.49989,1.80962,1.43929,0.0017822,0.0017822,0.0017822
13,1419.39,1.48609,1.83154,1.40551,0.51986,0.38931,0.38069,0.22368,1.51392,1.81549,1.45776,0.0017624,0.0017624,0.0017624
14,1527.75,1.45885,1.7847,1.38517,0.54774,0.42366,0.41061,0.23745,1.5177,1.76562,1.43236,0.0017426,0.0017426,0.0017426
15,1636.08,1.4462,1.74148,1.37752,0.44969,0.41221,0.38434,0.22585,1.46649,1.86378,1.42896,0.0017228,0.0017228,0.0017228
16,1745.12,1.447,1.75107,1.37021,0.54746,0.39695,0.42129,0.25122,1.45981,1.67014,1.44631,0.001703,0.001703,0.001703
17,1854.43,1.41605,1.66454,1.35109,0.51825,0.45038,0.45476,0.26622,1.40529,1.65435,1.40602,0.0016832,0.0016832,0.0016832
18,1963.8,1.42114,1.62908,1.35603,0.52031,0.46782,0.45159,0.26321,1.43872,1.60152,1.40988,0.0016634,0.0016634,0.0016634
19,2072,1.39979,1.63562,1.33603,0.6213,0.42581,0.46639,0.28006,1.36536,1.56714,1.38833,0.0016436,0.0016436,0.0016436
20,2180.67,1.37857,1.59018,1.31892,0.63762,0.4313,0.48672,0.2971,1.36318,1.56812,1.36376,0.0016238,0.0016238,0.0016238
21,2289.38,1.3622,1.56683,1.32191,0.60956,0.46183,0.47282,0.28149,1.35119,1.51489,1.37701,0.001604,0.001604,0.001604
22,2397.62,1.35045,1.54551,1.3172,0.57485,0.46447,0.4998,0.31618,1.34925,1.43067,1.34208,0.0015842,0.0015842,0.0015842
23,2506.06,1.33011,1.53839,1.30241,0.65031,0.44275,0.48114,0.27828,1.39906,1.53554,1.35355,0.0015644,0.0015644,0.0015644
24,2614.3,1.3249,1.49821,1.2982,0.61001,0.46565,0.49862,0.30458,1.32395,1.51256,1.33048,0.0015446,0.0015446,0.0015446
25,2722.47,1.30685,1.47159,1.28779,0.63407,0.44656,0.49613,0.31086,1.33876,1.48366,1.34476,0.0015248,0.0015248,0.0015248
26,2830.82,1.31223,1.48554,1.29372,0.64943,0.4542,0.51772,0.31869,1.35997,1.38895,1.33803,0.001505,0.001505,0.001505
